"accuracies","n_authors","n_samples","FE_algorithm","n_gram","doc_len"
"0.3795454545454545","44","20","POS n-gram","1","1-46"
"0.4015151515151515","44","30","POS n-gram","1","1-46"
"0.39681818181818185","44","50","POS n-gram","1","1-46"
"0.42295454545454547","44","100","POS n-gram","1","1-46"
"0.44363636363636366","44","200","POS n-gram","1","1-46"
"0.43606060606060604","44","300","POS n-gram","1","1-46"
"0.4376363636363636","44","500","POS n-gram","1","1-46"
"0.33333333333333337","45","10","POS n-gram","1","1-46"
"0.3655555555555556","45","20","POS n-gram","1","1-46"
"0.4133333333333333","45","30","POS n-gram","1","1-46"
"0.37911111111111107","45","50","POS n-gram","1","1-46"
"0.42155555555555557","45","100","POS n-gram","1","1-46"
"0.42000000000000004","45","200","POS n-gram","1","1-46"
"0.43074074074074076","45","300","POS n-gram","1","1-46"
"0.43244444444444446","45","500","POS n-gram","1","1-46"
"0.3543478260869565","46","10","POS n-gram","1","1-46"
"0.37065217391304345","46","20","POS n-gram","1","1-46"
"0.386231884057971","46","30","POS n-gram","1","1-46"
"0.41652173913043483","46","50","POS n-gram","1","1-46"
"0.4167391304347826","46","100","POS n-gram","1","1-46"
"0.43282608695652175","46","200","POS n-gram","1","1-46"
"0.42681159420289855","46","300","POS n-gram","1","1-46"
"0.42995652173913046","46","500","POS n-gram","1","1-46"
"0.34468085106382984","47","10","POS n-gram","1","1-46"
"0.3670212765957447","47","20","POS n-gram","1","1-46"
"0.3773049645390071","47","30","POS n-gram","1","1-46"
"0.394468085106383","47","50","POS n-gram","1","1-46"
"0.4082978723404255","47","100","POS n-gram","1","1-46"
"0.43382978723404253","47","200","POS n-gram","1","1-46"
"0.42936170212765956","47","300","POS n-gram","1","1-46"
"0.43110638297872345","47","500","POS n-gram","1","1-46"
"0.325","48","10","POS n-gram","1","1-46"
"0.3416666666666667","48","20","POS n-gram","1","1-46"
"0.3854166666666667","48","30","POS n-gram","1","1-46"
"0.39999999999999997","48","50","POS n-gram","1","1-46"
"0.41104166666666664","48","100","POS n-gram","1","1-46"
"0.4267708333333333","48","200","POS n-gram","1","1-46"
"0.42243055555555553","48","300","POS n-gram","1","1-46"
"0.4176666666666667","48","500","POS n-gram","1","1-46"
"0.32857142857142857","49","10","POS n-gram","1","1-46"
"0.35714285714285715","49","20","POS n-gram","1","1-46"
